,0
1176,"""IA"""
1177,"""IA"""
1178,"""IA"""
1179,"""IA"""
1180,"""IA"""
1181,"""IA"""
1182,"""IA"""
1183,"""IA"""
1184,"""IA"""
1185,"""IA"""
1186,"""IA"""
1187,"""IA"""
1188,"""IA"""
1189,"""IA"""
1190,"""IA"""
1191,"""IA"""
1192,"""IA"""
1193,"""IA"""
1194,"""IA"""
1195,"""IA"""
1196,"""IA"""
1197,"""IA"""
1198,"""IA"""
1199,"""IA"""
1200,"""IA"""
1201,"""IA"""
1202,"""IA"""
1203,"""IA"""
1204,"""IA"""
1205,"""IA"""
1206,"""IA"""
1207,"""IA"""
1208,"""IA"""
1209,"""IA"""
1210,"""IA"""
1211,"""IA"""
1212,"""IA"""
1213,"""IA"""
1214,"""IA"""
1215,"""IA"""
1216,"""IA"""
1217,"""IA"""
1218,"""IA"""
1219,"""IA"""
1220,"""IA"""
1221,"""IA"""
1222,"""IA"""
1223,"""IA"""
1224,"""IA"""
1225,"""IA"""
1226,"""IA"""
1227,"""IA"""
1228,"""IA"""
1229,"""IA"""
1230,"""IA"""
1231,"""IA"""
1232,"""IA"""
1233,"""IA"""
1234,"""IA"""
1235,"""IA"""
1236,"""IA"""
1237,"""IA"""
1238,"""IA"""
1239,"""IA"""
1240,"""IA"""
1241,"""IA"""
1242,"""IA"""
1243,"""IA"""
1244,"""IA"""
1245,"""IA"""
1246,"""IA"""
1247,"""IA"""
1248,"""IA"""
1249,"""IA"""
1250,"""IA"""
1251,"""IA"""
1252,"""IA"""
1253,"""IA"""
1254,"""IA"""
1255,"""IA"""
1256,"""IA"""
1257,"""IA"""
1258,"""IA"""
1259,"""IA"""
1260,"""IA"""
1261,"""IA"""
1262,"""IA"""
1263,"""IA"""
1264,"""IA"""
1265,"""IA"""
1266,"""IA"""
1267,"""IA"""
1268,"""IA"""
1269,"""IA"""
1270,"""IA"""
1271,"""IA"""
1272,"""IA"""
1273,"""IA"""
1274,"""IA"""
1275,"""IA"""
1276,"""IA"""
1277,"""IA"""
1278,"""IA"""
1279,"""IA"""
1280,"""IA"""
1281,"""IA"""
1282,"""IA"""
1283,"""IA"""
1284,"""IA"""
1285,"""IA"""
1286,"""IA"""
1287,"""IA"""
1288,"""IA"""
1289,"""IA"""
1290,"""IA"""
1291,"""IA"""
1292,"""IA"""
1293,"""IA"""
1294,"""IA"""
1295,"""IA"""
1296,"""IA"""
1297,"""IA"""
